wgi_glacier_id,lat,lon,glacier_name,max_elev
AQ6C20205006,-60.721,-45.61,Gourlay Snowfield,240
AQ6C50100003,-66.559,162.808,Borradaile I,381
US2N31850000,59.96,-149.81,AIALIK,1615
AR1I0111B009,-36.615,-70.437,DOMUYO    I,4200
AR1I0111B064,-36.541,-70.478,DOMUJO I2,2700
AR1I0111B066,-36.541,-70.47,DOMUYO K2,2900
AR1I0111B080,-36.535,-70.415,DOMUYO X2,2700
AR1I0111B104,-36.639,-70.49,DOMUYO T3,2600
AR1I0111B128,-36.785,-70.341,LA CRUZADA R,2550
AR1I0111B152,-36.666,-70.326,CHENQUE I,2900
AR1I0112A029,-36.85,-71.096,CHAQUIRAS A,2100
AR1I0112D008,-37.046,-70.541,VIENTO H,2600
AR1I0112E040,-37.852,-71.12,AGRIO C,2025
AR1I0112F033,-38.396,-70.886,LAGUNAS C,2000
AR1I0133A015,-38.963,-71.276,MOCHO A,1750
AR1I0133B025,-39.151,-70.601,CHACHIL H,2675
AR1I0133C041,-39.497,-71.19,PIEDRAS BL A,1725
AR1I0133D020,-39.636,-71.491,LANIN E,3000
AR1I0133D021,-39.638,-71.478,LANIN F,2725
AR1I0133D057,-39.622,-71.52,LANIN O1,2350
AR1I0133E003,-39.772,-71.55,CANTALA B,1825
AR1I60111007,-50.475,-73.2,de la Silla,2100
AR1I60112005,-50.362,-73.283,Fondo Canal Mayo 5,1900
AR1I60112007,-50.375,-73.3,Fondo Canal Mayo 3,1800
AR1I60112021,-50.333,-73.292,Cerro Mayo E,2300
AR1I60113006,-50.172,-73.321,al norte del Seco,1850
AR1I60114003,-49.939,-73.35,Espolon Bertrand E,1900
AR1I60114023,-49.779,-73.033,Codo 1,1800
AR1I60210005,-49.958,-72.983,Pintado N,1800
AR1I60232010,-49.233,-73.117,Pier Giorgio,850
AR1I60233007,-49.133,-73.05,R Blanco,2500
AR1I60234003,-49.083,-73.1,Cerro Mylodon,2650
AR1J1011A019,-36.331,-70.503,CO PIRAMIDE G,2700
AR1J11131607,-32.375,-69.703,CO. GRANDE,4850
AR1J11178312,-33.257,-69.893,RIO VACAS GL,5900
AR1L44212001,-48.7,-72.333,R Carbon Alto,1650
AR1L73100004,-41.185,-71.603,SCHWEITZER B,2150
AR1L73100018,-41.207,-71.867,VURILOCHES B,1980
AR1L73200045,-42.35,-71.742,CERRO ANEXO B,2150
AT4J131IS067,47.093,12.408,KRISTALLWAND,3070
AT4J131IS085,47.148,12.438,GSCHLOESS E,2930
AT4J143FA006,47.007,10.803,OB.VERPEIL,3240
AT4J143OE120,46.803,10.847,KREUZ S,3350
AT4J143PI023,46.93,10.8,VO.EISKA.TOTEIS,2960
AT4J143PI040,47.012,10.815,SEEBACH,2920
AT4J143SA013,47.068,13.24,GRUBENKAR,2970
AT4J143SA040,47.085,12.905,WEISSENBACH,3100
AT4J143SA062,47.195,12.762,HIRZBACH UN.,2550
AT4J143SA066,47.165,12.753,WIELINGER,3560
AT4J143SA102,47.147,12.592,RABEN W,2810
AT4J143SN040,47.053,10.282,KARTELL,2920
AT4J143ZI037,47.092,12.027,RIBLER,2900
AT4J143ZI059,47.04,11.923,LOEFFLER,2950
AT4J143ZI083,47.013,11.76,REISCHBERG,2960
BT5O205C0047,28.091,89.556,Shinchula Glacier,6632
CA2N001FA186,56.857,-131.895,GREAT GLACIER,2420
CA2N001FB054,57.005,-131.891,MUD GLACIER,2530
CA2N002FA001,59.169,-137.395,GRAND PACIFIC,3810
CA2N002FA093,59.179,-137.04,TENAS TIKKE N,1980
CA2N003CA028,59.687,-137.769,TATS GLACIER,1980
CH4J14323011,46.392,9.845,ROSEG VADRET DA,3560
CH4J14335012,46.509,9.747,TRAUNTER OVAS E,3020
CH4J14344004,46.699,10.003,SARSURA VAD. DA,3160
CH4L01201004,46.128,8.031,WEISSMIES GL.,3460
CH4N01316003,46.319,7.206,PRAPIO GL. DE,3000
CH4N01323002,46.35,7.405,EAUX FROIDES GL.,2820
CH4N01346002,46.411,8.266,FAELDBACHGL.,3120
CH4N01384020,45.899,7.234,PROZ GL. DE,3240
CH4R0133I002,46.513,9.369,SURETTAGL. W,2960
CH4R0134I006,46.605,8.704,FUORCLA GL.,2860
CH4R0134J003,46.742,8.762,STREM GL. DA,3160
CH4R0141E008,46.598,8.613,SCHWARZBACHFIRN,2840
CH4R0144E012,46.698,8.424,STEINGLETSCHER,3500
CH4R0144E015,46.713,8.39,TALEGGLIGL.,2860
CH4R0144F006,46.64,8.359,DIECHTERGL. S,3260
CL1L00100021,-52.642,-73.037,GCN01,1098
CL1M0022E008,-37.882,-71.178,COPAHUE G,2725
CL1M0022E023,-37.836,-71.202,COPAHUE W,2350
CL1M005G0033,-33.107,-70.111,JUNCAL SUR,5860
CL1N20200001,-30.15,-70,Tapado 01,4900
CL1N30100007,-29.667,-70.017,Los Cuartitos 01,4848
CL1N50000010,-26.517,-68.417,Sierra Nevada 01,5500
CL1N80000001,-22.433,-67.883,Tocorpuri 01,5780
CN5A255C0024,49.1,87.2,24,3456
CN5A255C0030,49.08,87.3,30,3260
CN5A255D0003,49.03,87.28,3,3000
CN5A255D0004,49.03,87.3,4,3020
CN5A255D0007,49.08,87.37,7,3650
CN5A255E0030,49.08,87.63,30,3462
CN5A255F0003,49.07,87.72,3,3528
CN5A255F0007,49.07,87.77,7,3704
CN5A255F0009,49.07,87.82,9,3900
CN5A255F0031,48.93,87.75,31,3100
CN5A255G0001,49,87.53,1,3600
CN5A255G0003,48.98,87.55,3,3740
CN5A255G0019,48.98,87.43,19,3349
CN5A255I0005,48.88,87.43,5,3000
CN5A255N0026,48.92,87.65,26,2900
CN5A255T0004,48.35,88.53,4,3300
CN5A258E0006,47.73,89.48,6,3151
CN5A258E0007,47.73,89.47,7,3100
CN5A258E0008,47.83,89.75,8,3700
CN5A258E0019,47.85,90.02,19,3500
CN5O173BC001,30.473,81.355,Gunala,6902
CN5O191CA018,28.085,86.071,Xiongdemo,6070
CN5O192BA059,27.986,87.001,Kangxiong,8848
CN5O192CB043,28.116,86.633,Jiabula,8201
CN5O207BA057,28.053,90.833,Sebuganglun,6222
CN5O207BB045,28.058,90.662,Jialangzhang,5688
CN5O207BB132,28.296,90.715,Baima,6497
CN5O207BB231,28.125,90.357,Lianggang,7535
CN5O272B0325,30.221,93.678,Senong,6406
CN5O280B0016,29.857,94.891,Gangtuo,6846
CN5O281A0032,30.212,94.606,Xibeng,6310
CN5O281B0668,30.564,94.34,Yenong,6340
CN5O282A0772,29.814,96.367,Cuoxia,5544
CN5O282B0270,29.798,95.213,Guodong,5350
